PART_REF,STUD_CHECK
970c00.dat,0
777p09.dat,0
970c3j.dat,0
u9312.dat,0
15316.dat,0
41747.dat,1
21019bpde7.dat,0
63864px0.dat,0
3626cpd68.dat,1
3437.dat,0
971pa2.dat,0
3039p72.dat,1
11170.dat,0
3596d25.dat,0
3867p02.dat,1
92279.dat,0
ms1048.dat,0
6229.dat,1
32181c05.dat,0
80686p03.dat,0
u9474.dat,0
15470.dat,0
64289.dat,0
59718d.dat,0
98138pm5.dat,0
93249pq0.dat,0
u9460.dat,0
24629p05.dat,0
003497i.dat,0
206a.dat,0
3068bp68.dat,0
3068bp5b.dat,0
41753.dat,0
16709p05.dat,1
197895f.dat,0
61483.dat,1
4638848i.dat,0
3001pt0.dat,1
26910.dat,1
18626.dat,0
3069bpz4.dat,0
191936d.dat,0
73125p01.dat,0
u9306.dat,0
15302.dat,1
u8018.dat,0
2634c01.dat,1
20551p01c01.dat,0
2715.dat,0
30182.dat,1
4150pa0.dat,0
3010dm0.dat,1
u8030.dat,0
6573.dat,0
788.dat,1
4740p03.dat,1
22385p002.dat,0
98088p03.dat,0
6215.dat,1
194305f.dat,0
24849.dat,0
713a.dat,1
98138pn9.dat,0
91994.dat,1
3596d19.dat,0
72632c02.dat,1
6100p05.dat,1
2345p02.dat,1
6142275z.dat,0
92245.dat,0
3068bp40.dat,0
31ac01.dat,1
6138629h.dat,0
3039pck.dat,1
3081b.dat,1
92251.dat,0
3068bp54.dat,0
10520.dat,0
10202p01.dat,0
22385p016.dat,0
3626bph2.dat,1
15458.dat,0
62808.dat,0
6062886c.dat,0
944.dat,0
4215ad08.dat,1
37720c.dat,0
u8024.dat,0
6567.dat,1
2332ac01.dat,0
194535e.dat,0
2701.dat,0
16709p0c.dat,1
71874.dat,1
3069bpzb.dat,0
3815c6w.dat,0
3069bpw3.dat,0
6179px0.dat,1
4650853dc01.dat,0
4162p06.dat,0
65632.dat,1
24108.dat,1
3626bp0h.dat,1
3626bp32.dat,1
777.dat,0
4162p0w.dat,0
3002p27.dat,1
22579.dat,0
10312ps2.dat,0
4586246c.dat,0
99244p01.dat,0
75347.dat,0
13710f.dat,0
3062a.dat,1
61332.dat,0
3068bp8e.dat,0
55981c06.dat,0
3004d01.dat,1
3068bp9a.dat,0
3386.dat,1
31511.dat,0
3817bpbf.dat,0
165385c.dat,0
32018.dat,1
65140.dat,1
2431pzd.dat,0
4162p12.dat,0
763.dat,0
4188571k.dat,0
3005pf1.dat,1
35011.dat,1
4518ac01.dat,0
191485k.dat,0
2926.dat,1
41948.dat,1
3626cpd8e.dat,1
30169.dat,1
004219b.dat,0
12893p02.dat,0
993.dat,0
35039.dat,1
30141.dat,0
30350cdf1.dat,0
3068bp83.dat,0
6213p02.dat,1
5907.dat,0
26045.dat,0
3004d0g.dat,1
2707p05.dat,0
64276.dat,0
32030.dat,0
958c01.dat,0
2454adq5.dat,1
32024.dat,0
004848c.dat,0
3068bp97.dat,0
30633.dat,0
26051.dat,0
62271c01.dat,0
3127a.dat,1
30155.dat,0
26439-f1.dat,0
4542886a.dat,0
2431pz2.dat,0
30350bp01.dat,0
3840d01.dat,0
4162p1d.dat,0
24120.dat,0
3040ad03.dat,1
2431pzs.dat,0
987.dat,0
6442p02.dat,0
u9624c01.dat,1
4182d02.dat,1
15672.dat,1
t1039.dat,0
1744.dat,1
68869.dat,0
u454p01.dat,0
58772.dat,0
4145p02c01.dat,0
4066a.dat,0
190605b.dat,0
3068bpz1.dat,0
6451314h.dat,0
3011pt5.dat,0
3069bpc6.dat,0
004612a.dat,0
u9110.dat,0
6145p01.dat,1
80319.dat,1
63082.dat,1
4868ad01.dat,1
949ac02.dat,1
13571.dat,0
15535p02.dat,0
15100.dat,0
u9104.dat,0
92709.dat,1
4616559a.dat,0
20952p01.dat,1
87079p0g.dat,0
825ap03.dat,1
3069bpb2.dat,0
6309ptb.dat,0
71372k01.dat,0
4628.dat,0
98224.dat,0
3626bps8.dat,1
31111p07.dat,0
1750.dat,1
75192.dat,1
50956p02.dat,1
3817bpw1.dat,0
499c01.dat,0
u9142p03c03.dat,0
3069bp51.dat,0
84625.dat,0
4600.dat,1
3741ac04.dat,1
6074343ec01.dat,0
t1005.dat,0
3626bpq0.dat,1
90650.dat,0
194325d.dat,0
2849k01.dat,0
4263304g.dat,0
42716.dat,0
4166.dat,1
20193.dat,0
30380.dat,0
82532.dat,0
10050.dat,0
191915j.dat,0
3068bpx9.dat,0
u9187e.dat,0
37364pdec.dat,0
604550.dat,0
30394.dat,0
100943p01.dat,0
87079p01.dat,0
14222.dat,0
97895.dat,0
98218.dat,0
004757a.dat,0
3626bpsn.dat,1
t1011.dat,0
6003.dat,1
87610ps3.dat,0
22385p214.dat,0
31111p0a.dat,0
19729p08.dat,0
46564.dat,1
3005bpf1.dat,1
4614.dat,0
3068p17.dat,0
3037pt1.dat,1
10054p02.dat,0
3816bpbc.dat,0
3816bpa9.dat,0
3190.dat,1
3817pbc.dat,0
3817pa9.dat,0
27165.dat,1
3045dx0.dat,1
18395.dat,0
4180508.dat,1
98138py0.dat,0
55295.dat,0
92241p09.dat,0
88517c02.dat,0
92243p02c01.dat,0
6142275ab.dat,0
575.dat,0
814c01-f2.dat,0
3816bp42.dat,0
92906.dat,0
31061.dat,0
4199.dat,0
3069bpn1.dat,0
9326t02.dat,0
92912.dat,0
27bc01.dat,1
35538c01.dat,0
3040p02.dat,1
2842c01.dat,1
6942.dat,1
561.dat,0
949c.dat,0
3297p90.dat,1
54821.dat,0
3465a.dat,0
98138px4.dat,0
6372023h.dat,0
47224c01-f1.dat,0
4129790c.dat,0
u1852p04.dat,0
3184.dat,1
60601p01.dat,0
6148328aoc01.dat,0
57028d.dat,0
u8001a.dat,1
30218-f2.dat,1
60212.dat,1
79743.dat,1
92084.dat,0
2335p42.dat,0
67037p01.dat,0
30343.dat,1
6124787ec01.dat,0
196945q.dat,0
2431pc0.dat,0
64712.dat,0
2598ps2.dat,1
54809.dat,0
90462pq1.dat,1
4444p08.dat,1
57895p05.dat,0
13809p03.dat,0
6542b.dat,0
65418.dat,0
004490e.dat,0
4085b.dat,1
4650854i.dat,0
30357.dat,1
11399.dat,1
79757.dat,0
3039pt4.dat,1
3069bp86.dat,0
72602.dat,0
753c01.dat,1
98138pxb.dat,0
64060.dat,1
92241p21.dat,0
54200p01.dat,0
81615.dat,0
14418.dat,1
3068bd0a.dat,0
15706.dat,1
973py1.dat,0
14769ps5.dat,0
3027.dat,1
4748.dat,1
3816cps4.dat,0
6177949g.dat,0
2339.dat,1
41357.dat,1
70834.dat,0
3999.dat,0
85970dy0.dat,1
3741.dat,1
3068bdf0.dat,0
u9064.dat,0
925p0y.dat,1
2038d02.dat,1
6639.dat,0
925p08.dat,1
2726c01.dat,0
80279.dat,0
4215ap24d01.dat,1
3815bpdg4.dat,0
u9070.dat,0
247a.dat,0
76289.dat,0
93563.dat,0
11212.dat,1
62498c03.dat,0
3755.dat,1
3033.dat,1
6009254d.dat,0
21019bp0d.dat,0
64683d01.dat,0
95674.dat,0
3821d04.dat,1
15712.dat,0
3626cpm6.dat,1
973px5.dat,0
84751.dat,0
4774.dat,0
49737.dat,0
67100p01-f1.dat,0
30592.dat,1
30155c01.dat,0
3068bd07.dat,0
3068bdff.dat,0
u9058.dat,1
19066c01.dat,1
u9142p01c06.dat,0
89513.dat,1
18200c01.dat,0
925p0n.dat,1
2463.dat,1
10124.dat,0
61905.dat,0
10130.dat,0
4006.dat,0
58148.dat,0
3626cp8k.dat,1
3660p02.dat,1
6177.dat,1
9244.dat,0
3068bd13.dat,0
973pxc.dat,0
4760.dat,1
21019bp02.dat,0
95648.dat,0
3002dm0.dat,1
30586.dat,1
13710cc01.dat,0
3070bpv4.dat,0
6022692d.dat,0
92244p05.dat,0
20461bpx0.dat,0
53790.dat,0
22169.dat,0
973pu2.dat,0
98130p01.dat,0
98387.dat,0
367.dat,1
54701p01c01.dat,1
15864p01.dat,1
401.dat,1
20460b.dat,0
3815pbf.dat,0
3023a.dat,1
3068warn.dat,0
18587.dat,0
78267.dat,0
003437b.dat,0
2488.dat,0
26603d05.dat,0
6148328acc01.dat,0
3404c.dat,0
415.dat,0
u1850p01.dat,0
004608b.dat,0
19476-f2.dat,0
373.dat,1
3004p52.dat,1
6188.dat,1
3070bptj.dat,0
3010p27.dat,1
92244p11.dat,0
51874p01.dat,0
6141875l.dat,0
32346.dat,0
973pud.dat,0
6047838a.dat,0
u9004c01.dat,1
30361dpsj.dat,0
60602d03.dat,0
30237.dat,1
4093b.dat,1
92696.dat,0
169685a.dat,0
4620855bc01.dat,0
65578.dat,1
4515d02.dat,0
76382p0m.dat,0
76382p37.dat,0
t43100.dat,0
44375bps0.dat,1
14395.dat,1
2350c.dat,1
76382p1i.dat,0
429.dat,0
87950-f1.dat,0
80286.dat,0
3626cp72.dat,1
76276.dat,0
30223.dat,1
24119p00.dat,0
76443c01.dat,1
3626cpb9.dat,1
3626cpbx.dat,1
u9231c02.dat,1
6178096g.dat,0
3298p02.dat,1
6258203ec01.dat,0
s12c.dat,0
u9266.dat,0
818.dat,1
u568.dat,1
2885.dat,1
48171.dat,1
50944p02.dat,0
3648a.dat,0
18746.dat,1
948cc02.dat,1
3070bpb1.dat,0
15527p02.dat,0
u9500.dat,1
15504.dat,0
973pav.dat,0
53551.dat,0
3831d01.dat,1
973pa7.dat,0
973pbm.dat,0
4121715.dat,0
3069bd0d.dat,0
646cc01.dat,1
4198p09.dat,0
u9514.dat,0
u9106p01c03.dat,0
1874p01.dat,1
42448.dat,1
32374p01.dat,1
51352.dat,1
18034.dat,0
3070bpc5.dat,0
3817cps1.dat,0
3231.dat,0
6347356m.dat,0
6197394e.dat,0
11010.dat,0
16001p04.dat,0
48165.dat,1
2891.dat,1
6153754b.dat,0
4238.dat,1
4617b.dat,0
2649.dat,0
55652.dat,0
35962p02.dat,0
74781-f2.dat,1
973p58.dat,0
973p6b.dat,0
91176.dat,1
3298p16.dat,1
6081d04.dat,1
u9272.dat,0
15427p02.dat,0
4210.dat,0
73878c01.dat,1
24083.dat,0
45406c03.dat,1
973p4j.dat,0
64.dat,0
15429p07.dat,1
973p70.dat,0
87079d52.dat,0
824.dat,1
20460p02.dat,0
973p7q.dat,0
32187.dat,0
973pbz.dat,0
6361.dat,0
973paa.dat,0
33299.dat,0
59143c01.dat,0
67810.dat,1
6177969r.dat,0
75902p06.dat,0
47753pq1.dat,0
20597.dat,0
3069bd02.dat,0
32193.dat,0
6180p03.dat,1
3069bd0s.dat,0
96143.dat,0
73200-f2.dat,0
22385p162.dat,0
3815pw1.dat,0
973p64.dat,0
70.dat,0
973p5n.dat,0
u9494p01.dat,0
6413.dat,0
u9150p01c01.dat,0
973p6u.dat,0
4204.dat,1
61406p04.dat,1
3245cdm0.dat,1
30009.dat,1
50925.dat,0
7039c03.dat,1
4346p68.dat,0
6142622sc01.dat,0
3009p06.dat,1
2846.dat,1
13808.dat,0
3004pza.dat,1
88930p01.dat,0
165.dat,0
973pm4.dat,0
3443bc04.dat,1
73642.dat,0
68504.dat,0
4589.dat,1
20460bpx5.dat,0
31465.dat,0
46835.dat,0
61252.dat,1
2431d04.dat,0
171.dat,0
53586.dat,0
62537p04.dat,0
973p9z.dat,0
25376.dat,0
3008d0g.dat,1
24068.dat,0
127c03-f2.dat,0
68881p02.dat,0
55237k.dat,0
u9001p04.dat,0
18791.dat,0
14769p0e.dat,0
76048.dat,1
2852.dat,0
004595a.dat,0
3009p12.dat,1
3004pz7.dat,1
72206.dat,0
973p8i.dat,0
163115b.dat,0
4624c03.dat,0
30035.dat,0
60602.dat,0
21767-f2.dat,0
41814.dat,0
30375ps4.dat,1
57910.dat,1
11244p02c01.dat,0
14137d01.dat,1
4493c03.dat,1
159.dat,1
973pmb.dat,0
783p03.dat,0
2361p03.dat,1
31459.dat,0
4548064a.dat,0
2431d0b.dat,0
4603014c.dat,0
14769p03.dat,0
3816cp02.dat,0
6153b.dat,1
3998a.dat,0
14769p0r.dat,0
92250p06c01.dat,0
18975.dat,1
3008d01.dat,1
3351b.dat,0
24054.dat,1
973p9m.dat,0
2431d0c.dat,0
11950.dat,0
69633.dat,0
4603014b.dat,0
3815bpsk.dat,0
783p16.dat,0
3008d0q.dat,1
973p9l.dat,0
73200bphf.dat,0
90498p01.dat,0
24055.dat,1
14769p0s.dat,0
18974.dat,1
14769p02.dat,0
6285381ec01.dat,0
3009p0a.dat,1
41815.dat,0
35199c01.dat,1
60603.dat,0
4624c02.dat,0
30034.dat,0
163115c.dat,0
60481b.dat,1
973p8h.dat,0
87926.dat,1
92198p04c01.dat,1
t43303.dat,0
2335d04.dat,0
4864apt3.dat,1
3004pz6.dat,1
96890-f1.dat,0
2361p02.dat,1
3326a.dat,0
158.dat,1
4493c02.dat,1
30375ps5.dat,1
170.dat,1
2431d05.dat,0
92254p01.dat,0
46834.dat,0
2853.dat,0
67144.dat,0
3009p13.dat,1
18948.dat,0
28653.dat,1
16965.dat,0
14769p0d.dat,0
u9001p05.dat,0
65753.dat,0
73200bph0.dat,0
55237j.dat,0
3008d0f.dat,1
63322.dat,1
88296p01.dat,1
602.dat,1
73125.dat,0
13809.dat,0
2847.dat,0
7039c02.dat,1
3581.dat,1
61521.dat,1
30008.dat,1
270c02.dat,1
t1010c01.dat,0
4588.dat,1
59900.dat,1
164.dat,0
33267.dat,1
3443bc05.dat,1
973pm5.dat,0
3626cpx6.dat,1
22385p163.dat,0
6180p02.dat,1
3069bd0r.dat,0
4620856dc01.dat,0
3069bd03.dat,0
32192.dat,0
20596.dat,0
90462bpq4.dat,1
4494pw2c01.dat,1
61406p05.dat,1
73200bpde.dat,0
2878c01.dat,1
973p65.dat,0
3298p1a.dat,1
973p7p.dat,0
20460p03.dat,0
825.dat,1
6406.dat,0
973p71.dat,0
15429p06.dat,1
65.dat,1
973p4k.dat,0
45406c02.dat,1
24082.dat,0
4211.dat,1
3218.dat,1
75902p07.dat,0
6177969s.dat,0
67811.dat,0
88618c01.dat,1
73200bp30.dat,0
33298.dat,0
u9132c01.dat,1
32186.dat,0
2723p05.dat,0
6197394d.dat,0
11777.dat,0
6347356l.dat,0
3817cps0.dat,0
3070bpc4.dat,0
51353.dat,1
u9106p01c02.dat,0
u9515.dat,0
4198p08.dat,0
u9273.dat,0
3069bdf4.dat,0
15103c01.dat,0
6081d05.dat,1
973p6c.dat,0
973p59.dat,0
3298p17.dat,1
35962p03.dat,0
2648.dat,0
267b.dat,0
71944k02.dat,0
16001p05.dat,0
6153754c.dat,0
2890.dat,0
32183c01.dat,0
2884.dat,0
48170.dat,1
39789.dat,1
3297d01.dat,1
819.dat,1
u9267.dat,0
s12b.dat,0
59.dat,0
973p7g.dat,0
93221p06.dat,1
973pbl.dat,0
973pa6.dat,0
53550.dat,0
973paw.dat,0
u9501.dat,0
60673c03p01.dat,1
75902p0a.dat,0
3070bpb0.dat,0
6148328bec01.dat,0
6177969d.dat,0
3468c01.dat,0
76277.dat,0
30222.dat,0
3626cp73.dat,1
88288p01.dat,0
428.dat,0
33031c01.dat,0
76382p1h.dat,0
2350b.dat,1
6178096f.dat,0
973pta.dat,0
004690a.dat,0
60373.dat,1
30361dpsk.dat,0
6625c01.dat,0
13792p01.dat,0
973pue.dat,0
6141875m.dat,0
44375bps1.dat,1
4515d03.dat,0
76382p0l.dat,0
85984p01.dat,0
92697.dat,0
4093c.dat,1
30236.dat,1
76263.dat,0
93589.dat,1
60602d02.dat,0
35366.dat,1
3626cp7e.dat,1
64897.dat,0
92241p0ac01.dat,0
3404b.dat,1
75902ps1.dat,0
92253p01c01.dat,0
26603d04.dat,0
2489.dat,0
3678bp4w.dat,1
92244p10.dat,0
196925a.dat,0
3010p26.dat,1
3070bptk.dat,0
u9364c02.dat,0
372.dat,1
42688.dat,0
3626cpbn.dat,1
4362ac01.dat,1
93668c01.dat,0
98386.dat,0
973pu3.dat,0
22168.dat,0
53791.dat,0
